CLIENT_NUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_months,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,2910,2030,1256
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,22913,1528,1394
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,24312,1932,1341
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,5272,1515,1289
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,7000,2517,1112
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,7038,1801,2339
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2536,1823,1468
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,28904,1899,1334
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,8567,1695,1457
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,34516,1533,1603
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,2158,0,615
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,10133,1417,1068
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,34516,1219,1590
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,3085,1910,1531
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,19040,2056,1212
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,4026,0,1237
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,12756,837,1413
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,5266,0,1516
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,9930,0,1276
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,31302,1953,1564
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,6576,0,1465
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,2664,2037,1286
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2535,2440,1312
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,1709,895,1673
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,3454,1200,1313
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,3789,1706,1609
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,9689,2250,1158
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,5449,1628,836
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,23032,1960,1289
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,34516,2053,1487
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2940,1264,1259
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3031,1879,1298
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,1862,0,1226
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,8358,926,1566
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,34516,931,1022
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,14450,2440,1235
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,1438.3,0,1951
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,33791,1960,1047
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,8466,1886,1342
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,15088,865,1107
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,3263,1674,1251
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,1494,706,1305
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,13551,1294,1388
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,18886,895,1235
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,11976,1273,2089
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,9964,1559,1626
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,24159,1196,1111
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,5362,1901,1553
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,34516,1023,1064
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,3174,1951,1243
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,12262,1836,1659
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3788,1540,1594
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,34516,1527,1268
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2926,0,1304
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,32090,0,1368
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,11669,2227,720
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,13532,1300,1521
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,11888,2090,1137
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2393,1985,978
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,6111,2517,1221
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,19270,1662,1565
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,3710,2517,1578
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3235,797,1493
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,11749,788,1178
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,7753,2100,991
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,10408,1186,2560
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3967,1568,1657
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,6205,2517,1204
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,8025,0,673
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,9036,2327,1131
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,14926,2517,1576
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,6335,1128,1217
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,14979,0,530
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,2732,0,739
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2250,2117,1617
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,10916,1536,1592
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1,5349,1228,1343
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,9366,1104,1303
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,21617,0,1351
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,2,13860,1652,1910
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,18386,0,1298
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2405,1540,1087
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,2154,930,1439
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,2038,0,1238
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,8135,0,1716
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,9364,618,1099
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,32643,0,1058
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,3195,1954,1285
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,2852,1024,1651
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,4224,1305,1152
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,20459,2071,1767
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3482,2114,1039
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3065,1570,1130
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2185,1761,1645
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,1611,746,1413
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,2822,2173,1218
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,32975,2517,597
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,1438.3,0,2184
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,15875,1719,1592
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,6703,893,1388
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,3212,0,757
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,34516,1260,1504
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,9797,1434,1503
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,10400,1777,1105
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,26792,1836,2398
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,3006,2517,1661
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,19482,1072,1421
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3356,985,999
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,5771,2248,1387
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,11106,2107,1243
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,2890,2001,1860
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,3380,1701,1502
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,21331,1251,1460
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,12860,0,1348
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,6278,462,1087
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,5,1,1438.3,738,1226
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,9355,1626,1230
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,20758,0,1555
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,14612,1976,1827
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,2,27259,0,1376
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,6347,1594,1771
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,21592,1676,1873
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,3449,1598,1679
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,6028,799,1002
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,2,18214,1998,1344
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,16393,1423,1461
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,1438.3,900,760
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,4,1,7871,1687,1428
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,5288,866,1777
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,11376,2006,1302
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,5,12302,1632,1483
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,34516,1679,1060
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,34516,1468,1330
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,10514,1580,1229
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,1438.3,0,886
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,1438.3,0,844
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2619,1779,1450
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,3,24407,2395,2311
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2377,1649,1378
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3,2,34516,1359,1033
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,11086,2207,1523
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,11432,2517,1374
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,5,3,13258,1721,1080
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,2,2571,1955,1234
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,0,5781,1168,1600
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,5,0,7872,2509,1155
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,6,0,34516,1202,1353
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,0,11127,1835,1546
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,2,0,1857,1603,1590
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,0,1913,1272,1448
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,0,3839,2295,1271
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,0,2115,1141,1223
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,0,1438.3,679,1117
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,4,0,27756,1789,994
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,4,0,1438.3,0,1468
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,0,13878,2222,1658
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,0,3106,1304,1368
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,0,34516,1666,1218
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,0,1438.3,1025,702
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46,2,0,18871,1740,1516
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,0,5207,1748,1310
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,0,17965,1644,1767
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,0,2733,1819,933
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,4,0,8863,1301,1512
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,0,1857,1833,829
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,0,34516,0,1120
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,0,11107,1222,1506
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,4,0,21573,1585,1384
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,0,2859,2517,817
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,0,5269,1475,2094
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,0,1438.3,0,815
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,0,3387,0,510
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,0,1982,1289,1377
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,0,4645,1650,1193
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,0,2189,1666,1287
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,0,2442,0,701
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,0,21304,1532,1770
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,0,7577,2480,1409
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,0,3234,1486,1354
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,5,0,4469,1125,1765
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,6,0,2910,709,1192
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,0,3616,1054,687
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,0,3252,1495,1227
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,0,2358,1152,1737
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,36,4,1,22322,953,1348
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,3133,1510,1435
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3,3540,849,1321
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,6990,1378,1479
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22,2,2,34516,1652,1283
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1438.3,0,689
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,35,6,3,24396,1171,965
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,2,3,2474,2143,1541
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1,5214,795,1258
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,5207,1650,1339
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,2,2,9512,1082,1007
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,6,3,3187,2430,1387
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3353,0,960
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3,2290,1434,1119
